,Unnamed: 0,Frequency,S1_Real[RE],S1_Imaginary[Im],Lambda,Magnitude,Phase(Deg),Phase(Rad)
500,500,30.0,0.61840885877609,-0.60559719800949,7.0,0.86555039301573,-44.40030747312975,-0.77493155430396
1501,1501,30.0,0.61180913448334,-0.60764282941818,7.0201005025126,0.86228778559167,-44.80424750243212,-0.78198163779589
2502,2502,30.0,0.60510039329529,-0.60962116718292,7.0402010050251,0.85894380109736,-45.21323410767965,-0.78911980065401
3503,3503,30.0,0.59828293323517,-0.61152851581573,7.0603015075377,0.85551714994865,-45.62727597622227,-0.79634619450119
4504,4504,30.0,0.5913559794426,-0.61336117982864,7.0804020100503,0.85200576954813,-46.04644057629894,-0.80366199688033
5505,5505,30.0,0.5843181014061,-0.61511582136154,7.1005025125628,0.84840740055713,-46.47085362097948,-0.81106940189842
6506,6506,30.0,0.57717007398605,-0.61678779125214,7.1206030150754,0.84472035239052,-46.90048201838778,-0.81856783199326
7507,7507,30.0,0.56991082429886,-0.61837381124496,7.1407035175879,0.84094263662073,-47.33545610735138,-0.82615956200654
8508,8508,30.0,0.56254088878632,-0.61986923217773,7.1608040201005,0.83707234846046,-47.77577288768281,-0.8338445395751
9509,9509,30.0,0.55505847930908,-0.62127047777176,7.1809045226131,0.83310678907548,-48.22160671534238,-0.84162580778453
10510,10510,30.0,0.54741990566254,-0.62258720397949,7.2010050251256,0.82902556032645,-48.67592490212254,-0.84955515599554
11511,11511,30.0,0.53971427679062,-0.6237855553627,7.2211055276382,0.8248635763875,-49.13285179424598,-0.857530034704
12512,12512,30.0,0.53189778327942,-0.62487596273422,7.2412060301508,0.82060052440915,-49.59539242541227,-0.8656028916421
13513,13513,30.0,0.52396959066391,-0.62585407495499,7.2613065326633,0.81623370126347,-50.06368481974311,-0.87377613578522
14514,14514,30.0,0.51593160629272,-0.62671482563019,7.2814070351759,0.81176159987798,-50.53770069718514,-0.88204927355331
15515,15515,30.0,0.50773537158966,-0.62746500968933,7.3015075376884,0.80716017366302,-51.02072969846185,-0.89047972000821
16516,16516,30.0,0.49947875738144,-0.6280757188797,7.321608040201,0.80247002294264,-51.50643865959283,-0.89895694058639
17517,17517,30.0,0.49111461639404,-0.62855422496796,7.3417085427136,0.79766783823904,-51.99806222946266,-0.90753739056103
18518,18518,30.0,0.48264363408089,-0.62889522314072,7.3618090452261,0.79275095661123,-52.4956790952247,-0.91622244328203
19519,19519,30.0,0.47094634175301,-0.62915992736816,7.3819095477387,0.78589609428757,-53.18397065183281,-0.92823539715852
20520,20520,30.0,0.46224546432495,-0.62915259599686,7.4020100502513,0.78070728082847,-53.69485797853493,-0.93715206311618
21521,21521,30.0,0.45344507694244,-0.62899023294449,7.4221105527638,0.77539741484151,-54.21180563353259,-0.94617450175635
22522,22522,30.0,0.44448700547218,-0.6286746263504,7.4422110552764,0.76993537641184,-54.73883585825849,-0.95537291443535
23523,23523,30.0,0.43549191951752,-0.62818515300751,7.4623115577889,0.76437543028549,-55.26820731302296,-0.96461218928706
24524,24524,30.0,0.42634412646294,-0.62752914428711,7.4824120603015,0.7586581187196,-55.80776040566644,-0.97402916724301
25525,25525,30.0,0.41716694831848,-0.62668973207474,7.5025125628141,0.75284014442461,-56.34958647169951,-0.98348581606841
26526,26526,30.0,0.40784284472466,-0.62567085027695,7.5226130653266,0.7468599593494,-56.9017256260009,-0.99312246224015
27527,27527,30.0,0.39849612116814,-0.62445932626724,7.5427135678392,0.74077568045137,-57.45618613062652,-1.00279962361813
28528,28528,30.0,0.38900846242905,-0.62305444478989,7.5628140703518,0.73452326376627,-58.0211131197087,-1.012659459611
29529,29529,30.0,0.37950831651688,-0.62144815921783,7.5829145728643,0.72816507530965,-58.58826414937433,-1.02255811243474
30530,30530,30.0,0.36987343430519,-0.61963558197021,7.6030150753769,0.72163329458131,-59.16613952912562,-1.03264394047761
31531,31531,30.0,0.36023691296577,-0.61761194467545,7.6231155778894,0.71499311022478,-59.74610464557836,-1.04276624130642
32532,32532,30.0,0.35047671198845,-0.61536794900894,7.643216080402,0.70817486422049,-60.33675308704188,-1.05307500133173
33533,33533,30.0,0.34072381258011,-0.61290472745895,7.6633165829146,0.70124526479731,-60.92959796572469,-1.06342209641833
34534,34534,30.0,0.33085894584656,-0.61020815372467,7.6834170854271,0.69413372841173,-61.53315438315344,-1.07395614312401
35535,35535,30.0,0.32095119357109,-0.6072770357132,7.7035175879397,0.68687339936798,-62.14315882775119,-1.08460272913404
36536,36536,30.0,0.31107035279274,-0.60411477088928,7.7236180904523,0.6794993898402,-62.75518735848793,-1.09528464211154
37537,37537,30.0,0.30109584331512,-0.60069984197617,7.7437185929648,0.67193675819369,-63.3780592197741,-1.10615580690901
38538,38538,30.0,0.29109919071198,-0.59703540802002,7.7638190954774,0.66422136164294,-64.00732149516715,-1.11713850547321
39539,39539,30.0,0.28115239739418,-0.59313052892685,7.78391959799,0.65639202836837,-64.63837566248137,-1.12815247845127
40540,40540,30.0,0.27113109827042,-0.58895653486252,7.8040201005025,0.64836862386037,-65.28062275497237,-1.1393618048266
41541,41541,30.0,0.26111450791359,-0.58451896905899,7.8241206030151,0.64018998073442,-65.92887680491432,-1.15067597238747
42542,42542,30.0,0.25110813975334,-0.57981497049332,7.8442211055276,0.63185496584149,-66.58337276413928,-1.16209908181695
43543,43543,30.0,0.24117830395699,-0.57485818862915,7.8643216080402,0.62340108384054,-67.23980705571911,-1.17355602152801
44544,44544,30.0,0.2312251329422,-0.56961607933044,7.8844221105528,0.61475811498175,-67.90621497178503,-1.18518703382472
45545,45545,30.0,0.2213056832552,-0.56409692764282,7.9045226130653,0.60595507194603,-68.57900223749088,-1.19692938677677
46546,46546,30.0,0.21143314242363,-0.5582999587059,7.9246231155779,0.59699482209324,-69.25787904508977,-1.2087780222848
47547,47547,30.0,0.20168176293373,-0.55224829912186,7.9447236180905,0.58792322405485,-69.93774389612423,-1.22064390240393
48548,48548,30.0,0.19193644821644,-0.54589283466339,7.964824120603,0.57865238882318,-70.62827646358366,-1.23269596929835
49549,49549,30.0,0.18227112293243,-0.53925532102585,7.9849246231156,0.56922672417038,-71.32447741491833,-1.24484696815466
50550,50550,30.0,0.17269638180733,-0.53233593702316,8.0050251256281,0.55964773754181,-72.02629402224079,-1.25709597869761
51551,51551,30.0,0.16322247684002,-0.52513414621353,8.0251256281407,0.54991585580451,-72.73368237655411,-1.26944223457064
52552,52552,30.0,0.15385602414608,-0.51764678955078,8.0452261306533,0.54002766123437,-73.44689155070176,-1.28189008291495
53553,53553,30.0,0.14462637901306,-0.50988799333572,8.0653266331658,0.53000241061184,-74.16436051613684,-1.29441227864267
54554,54554,30.0,0.13552711904049,-0.50184673070908,8.0854271356784,0.51982472153487,-74.88739198114419,-1.30703155830257
55555,55555,30.0,0.12657377123833,-0.49352866411209,8.105527638191,0.50950118926825,-75.61555971277791,-1.31974048272635
56556,56556,30.0,0.11778026819229,-0.4849374294281,8.1256281407035,0.49903557191425,-76.34849310073605,-1.33253258354402
57557,57557,30.0,0.10915755480528,-0.47607657313347,8.1457286432161,0.488430420078,-77.08611117902623,-1.34540644763242
58558,58558,30.0,0.10071617364883,-0.46695023775101,8.1658291457286,0.47768846769645,-77.8283757117179,-1.35836140764866
59559,59559,30.0,0.09246759861708,-0.45756149291992,8.1859296482412,0.4668112858502,-78.57509218669747,-1.37139406871594
60560,60560,30.0,0.08442539721727,-0.44791945815086,8.2060301507538,0.45580641580111,-79.32592152648722,-1.38449851281585
61561,61561,30.0,0.07659766823053,-0.43802654743195,8.2261306532663,0.44467342964642,-80.08098610408386,-1.39767687576009
62562,62562,30.0,0.06899785250425,-0.42789155244827,8.2462311557789,0.43341883243208,-80.83986037401912,-1.41092173037913
63563,63563,30.0,0.06162654235959,-0.41752731800079,8.2663316582915,0.42205081684571,-81.60383126702449,-1.42425553785147
64564,64564,30.0,0.05451020598412,-0.40692889690399,8.286432160804,0.41056362441396,-82.37035646597813,-1.43763392637272
65565,65565,30.0,0.04764361307025,-0.39610290527344,8.3065326633166,0.39895792438858,-83.14136132354606,-1.45109049968615
66566,66566,30.0,0.04105613008142,-0.38508534431458,8.3266331658291,0.38726777328244,-83.91436116541698,-1.46458189204419
67567,67567,30.0,0.03473705798387,-0.37385401129723,8.3467336683417,0.37546435910803,-84.69154109889533,-1.47814624076382
68568,68568,30.0,0.02870356291533,-0.36243218183517,8.3668341708543,0.36356702401873,-85.47179421407459,-1.49176422662264
69569,69569,30.0,0.02292653732002,-0.35078057646751,8.3869346733668,0.35152900156369,-86.2605450629691,-1.50553052591375
70570,70570,30.0,0.01748965866864,-0.33900916576385,8.4070351758794,0.3394600162497,-87.04669931506766,-1.51925150604142
71571,71571,30.0,0.01236074883491,-0.32707953453064,8.427135678392,0.32731301535463,-87.83575002643546,-1.53302303892
72572,72572,30.0,0.00754672475159,-0.31500214338303,8.4472361809045,0.3150925314735,-88.62758781972032,-1.54684321555454
73573,73573,30.0,0.00305383838713,-0.30279198288918,8.4673366834171,0.30280738239161,-89.42215736060062,-1.56071107017896
74574,74574,30.0,-0.00114458543248,-0.29040032625198,8.4874371859296,0.29040258188086,-90.2258247290404,-1.57473771184908
75575,75575,30.0,-0.00497464137152,-0.27796724438667,8.5075376884422,0.27801175516279,-91.02528458642168,-1.5886909185979
76576,76576,30.0,-0.00847237650305,-0.26543202996254,8.5276381909548,0.26556721125479,-91.82821439702866,-1.60270468745541
77577,77577,30.0,-0.01164167840034,-0.2528195977211,8.5477386934673,0.25308749014488,-92.63645778796072,-1.61681119578466
78578,78578,30.0,-0.01447279844433,-0.24006973206997,8.5678391959799,0.2405055886065,-93.44994709405516,-1.63100926260577
79579,79579,30.0,-0.01694535464048,-0.22732500731945,8.5879396984925,0.22795570621654,-94.26308130218662,-1.64520113179826
80580,80580,30.0,-0.01908412203193,-0.21454229950905,8.608040201005,0.21538941940671,-95.08323667045111,-1.65951554335238
81581,81581,30.0,-0.02083413302898,-0.20168001949787,8.6281407035176,0.20275327707273,-95.89790036407844,-1.67373410710264
82582,82582,30.0,-0.02226907759905,-0.18884959816933,8.6482412060301,0.19015804622952,-96.72524114940552,-1.68817392784263
83583,83583,30.0,-0.0233603939414,-0.17601558566093,8.6683417085427,0.1775589885099,-97.55998678961694,-1.70274298768099
84584,84584,30.0,-0.02412062138319,-0.16314445436001,8.6884422110553,0.16491791098706,-98.41015418392418,-1.71758120790475
85585,85585,30.0,-0.02453069761395,-0.15034992992878,8.7085427135678,0.15233796819906,-99.26657738612997,-1.73252861257371
86586,86586,30.0,-0.02459803037345,-0.13759149610996,8.7286432160804,0.1397729691322,-100.1360192548015,-1.74770323583672
87587,87587,30.0,-0.02433854714036,-0.12483294308186,8.748743718593,0.12718344450196,-101.03249482047676,-1.76334968612144
88588,88588,30.0,-0.02373995631933,-0.11218682676554,8.7688442211055,0.11467113684692,-101.94815023734454,-1.7793308879595
89589,89589,30.0,-0.02281621843576,-0.0996168628335,8.7889447236181,0.10219637559374,-102.90049793320198,-1.79595249087599
90590,90590,30.0,-0.02159697003663,-0.08704935759306,8.8090452261307,0.08968845952589,-103.93375455661204,-1.81398622097254
91591,91591,30.0,-0.02003159746528,-0.07466059178114,8.8291457286432,0.07730115692615,-105.01886675264568,-1.83292500154687
92592,92592,30.0,-0.0181565657258,-0.0623285472393,8.8492462311558,0.06491924737639,-106.2410616499301,-1.85425632660556
93593,93593,30.0,-0.01597833260894,-0.05017719045281,8.8693467336683,0.05265982866189,-107.66346071839956,-1.87908187362765
94594,94594,30.0,-0.0135046010837,-0.03810546174645,8.8894472361809,0.04042771902223,-109.5143606049852,-1.91138617077336
95595,95595,30.0,-0.01073989085853,-0.02621645107865,8.9095477386935,0.02833103532899,-112.27706139931028,-1.9596043958818
96596,96596,30.0,-0.00769595196471,-0.0144175440073,8.929648241206,0.0163429878494,-118.09288828606311,-2.06110972378164
97597,97597,30.0,-0.00437608221546,-0.00285177747719,8.9497487437186,0.00522328731125,-146.9087722675014,-2.56404177613044
98598,98598,30.0,-0.00079195108265,0.0086032487452,8.9698492462312,0.00863962241589,95.2594011930224,1.66259019429646
99599,99599,30.0,0.00304141524248,0.01985464431345,8.9899497487437,0.0200862417463,81.29089887811823,1.41879383732893
100600,100600,30.0,0.00711503531784,0.03091751970351,9.0100502512563,0.03172564817606,77.04018520744488,1.34460488821614
101601,101601,30.0,0.01142994966358,0.04179130494595,9.0301507537688,0.043326168979,74.70364508693685,1.30382457000833
102602,102602,30.0,0.01598007045686,0.0525151155889,9.0502512562814,0.05489262261108,73.07527371616919,1.27540412814322
103603,103603,30.0,0.02073966898024,0.06299783289433,9.070351758794,0.06632390834979,71.77781311408961,1.25275916872203
104604,104604,30.0,0.02571777068078,0.0733103454113,9.0904522613065,0.07769047865159,70.66878055618706,1.23340289907481
105605,105605,30.0,0.03089518472552,0.0834147259593,9.1105527638191,0.08895239707894,69.67635471962761,1.21608180064499
106606,106606,30.0,0.03624869138002,0.09327492117882,9.1306532663317,0.10007086762729,68.76277583229852,1.20013684108439
107607,107607,30.0,0.04179379716516,0.10295212268829,9.1507537688442,0.11111193026632,67.90512400836231,1.18516799292097
108608,108608,30.0,0.04749592766166,0.11237988620996,9.1708542713568,0.12200451618282,67.08926911022868,1.17092863873002
109609,109609,30.0,0.05336901172996,0.12161281704903,9.1909547738693,0.13280786378687,66.30603715987533,1.15725866238953
110610,110610,30.0,0.05939314141869,0.13062398135662,9.2110552763819,0.14349275156967,65.5492824359614,1.14405080082722
111611,111611,30.0,0.06554470956326,0.13938288390636,9.2311557788945,0.15402498913418,64.81477515414618,1.13123123037967
112612,112612,30.0,0.07184016704559,0.14794141054153,9.251256281407,0.16446176015766,64.09884740453084,1.11873593394248
113613,113613,30.0,0.07826838642359,0.15627916157246,9.2713567839196,0.17478305597266,63.39718263064999,1.106489573393
114614,114614,30.0,0.08478225767613,0.16435931622982,9.2914572864322,0.1849378707788,62.71374072651427,1.09456126191973
115615,115615,30.0,0.09140953421593,0.17223112285137,9.3115577889447,0.19498528822508,62.04342648981304,1.08286207146631
116616,116616,30.0,0.09814728051424,0.17988292872906,9.3316582914573,0.20491646278541,61.38234346562538,1.07132399606519
117617,117617,30.0,0.10492230951786,0.18731562793255,9.3517587939699,0.21469940731713,60.74522273169264,1.06020414152534
118618,118618,30.0,0.11180167645216,0.19449743628502,9.3718592964824,0.22434096277532,60.10870327171038,1.04909478119563
119619,119619,30.0,0.11877194792032,0.20147696137428,9.391959798995,0.23387975880225,59.48038040804799,1.03812847845917
120620,120620,30.0,0.12580001354218,0.20823165774345,9.4120603015075,0.24328186675911,58.86236060265058,1.02734199801245
121621,121621,30.0,0.13287000358105,0.21475392580032,9.4321608040201,0.25253452535896,58.25458365616882,1.01673428917862
122622,122622,30.0,0.14000175893307,0.22107207775116,9.4522613065327,0.26167414099519,57.65450933340286,1.00626101648968
123623,123623,30.0,0.14717726409435,0.22717759013176,9.4723618090452,0.2706858040688,57.06276912682186,0.99593320156841
124624,124624,30.0,0.15438483655453,0.23307000100613,9.4924623115578,0.27956448831525,56.47963392257012,0.98575557226993
125625,125625,30.0,0.16162081062794,0.23875300586224,9.5125628140704,0.2883128235724,55.9044639485549,0.97571696246475
126626,126626,30.0,0.16886335611343,0.24422115087509,9.5326633165829,0.29691548220435,55.33861299136311,0.96584100018619
127627,127627,30.0,0.17613559961319,0.24949544668198,9.5527638190955,0.30540420325552,54.779162851719,0.95607675324866
128628,128628,30.0,0.18341748416424,0.25457006692886,9.572864321608,0.31376407135506,54.22728696215925,0.94644470191347
129629,129629,30.0,0.19070468842983,0.25945004820824,9.5929648241206,0.32199783493741,53.68283709664835,0.93694225914827
130630,130630,30.0,0.19798837602139,0.26413515210152,9.6130653266332,0.3301011596697,53.14579145687818,0.9275690445008
131631,131631,30.0,0.20525527000427,0.26862812042236,9.6331658291457,0.33806921324808,52.61702298618339,0.91834029370644
132632,132632,30.0,0.21252499520779,0.27294215559959,9.6532663316583,0.34592527212018,52.09407627775578,0.90921315183191
133633,133633,30.0,0.21977639198303,0.27707225084305,9.6733668341709,0.35365335380894,51.57820838720754,0.90020955863653
134634,134634,30.0,0.2270111143589,0.28102713823318,9.6934673366834,0.36126209110008,51.0690441238557,0.89132296580754
135635,135635,30.0,0.23422379791737,0.28480929136276,9.713567839196,0.36875075587366,50.56652461848925,0.88255234588341
136636,136636,30.0,0.2414056956768,0.2884187400341,9.7336683417085,0.3761144500123,50.07076022023686,0.87389962481973
137637,137637,30.0,0.24855981767178,0.29186496138573,9.7537688442211,0.38336293332262,49.58141772668406,0.86535898713732
138638,138638,30.0,0.25568044185638,0.29514992237091,9.7738693467337,0.39049451343576,49.09849625682865,0.85693041745977
139639,139639,30.0,0.26276469230652,0.29827776551247,9.7939698492462,0.39751089157664,48.62189735573073,0.84861219742423
140640,140640,30.0,0.26979345083237,0.30124816298485,9.8140703517588,0.40439950768242,48.15283998024238,0.84042560184119
141641,141641,30.0,0.27679646015167,0.30407270789146,9.8341708542714,0.41118911955077,47.68849992542989,0.83232133903582
142642,142642,30.0,0.28375285863876,0.30675122141838,9.8542713567839,0.4178660031964,47.23037148973251,0.82432548943589
143643,143643,30.0,0.29065796732903,0.30928364396095,9.8743718592965,0.42442717442879,46.77822304282618,0.8164340103296
144644,144644,30.0,0.29751837253571,0.31168153882027,9.894472361809,0.43088578955179,46.33181814332868,0.80864277503633
145645,145645,30.0,0.30432721972466,0.31394511461258,9.9145728643216,0.43723745454209,45.89122593669308,0.80095299037191
146646,146646,30.0,0.31107777357101,0.31607407331467,9.9346733668342,0.44347739630293,45.45644580962207,0.79336464563228
147647,147647,30.0,0.31777846813202,0.31807968020439,9.9547738693467,0.44961965900888,45.02714155545451,0.78587187290424
148648,148648,30.0,0.32442286610603,0.31996202468872,9.9748743718593,0.45565984384775,44.60336856554214,0.77847563894925
149649,149649,30.0,0.33100482821465,0.32172083854675,9.9949748743719,0.4615934296073,44.18511315639154,0.7711757049453
150650,150650,30.0,0.3375324010849,0.32336696982384,10.015075376884,0.46743375889551,43.77213504686001,0.76396787719531
151651,151651,30.0,0.34399461746216,0.32489711046219,10.035175879397,0.47317061323546,43.36459424900818,0.75685494843659
152652,152652,30.0,0.35040086507797,0.32632040977478,10.05527638191,0.4788170590977,42.96204639635248,0.74982916301092
153653,153653,30.0,0.35674402117729,0.32763797044754,10.075376884422,0.48436859551867,42.56473790946851,0.74289482176867
154654,154654,30.0,0.36302202939987,0.32885020971298,10.095477386935,0.48982390127256,42.17243846160689,0.73604790474973
155655,155655,30.0,0.36923849582672,0.32996472716331,10.115577889447,0.49519065820382,41.78511324197882,0.72928780439121
156656,156656,30.0,0.37539079785347,0.33098268508911,10.13567839196,0.50046757031986,41.40267747047116,0.722613041001
157657,157657,30.0,0.38147678971291,0.33190590143204,10.155778894472,0.50565409965221,41.02507230166236,0.71602258753274
158658,158658,30.0,0.38750317692757,0.33273231983185,10.175879396985,0.51075386321558,40.65126874839128,0.7094984847725
159659,159659,30.0,0.39345934987068,0.33347827196121,10.195979899497,0.51576934560993,40.28309579789581,0.70307265456957
160660,160660,30.0,0.39934918284416,0.33413875102997,10.21608040201,0.5206999853833,39.91950053293239,0.6967267200513
161661,161661,30.0,0.40517568588257,0.33471855521202,10.236180904523,0.52555099432275,39.56035768826996,0.69045849492696
162662,162662,30.0,0.41093444824219,0.33521804213524,10.256281407035,0.53031901392001,39.20570036410749,0.68426855690402
163663,163663,30.0,0.41662827134132,0.33564177155495,10.276381909548,0.53500889272366,38.85542203871671,0.67815504682757
164664,164664,30.0,0.42225554585457,0.33599138259888,10.29648241206,0.5396201953093,38.50948582969025,0.6721173209782
165665,165665,30.0,0.42781680822372,0.33626952767372,10.316582914573,0.54415477268939,38.16780349642432,0.66615383926681
166666,166666,30.0,0.4333122074604,0.33647856116295,10.336683417085,0.54861397289578,37.8302986576081,0.66026326858805
167667,167667,30.0,0.43874296545982,0.33662110567093,10.356783919598,0.55300014333054,37.49685898771487,0.65444364849165
168668,168668,30.0,0.44410833716393,0.33669006824493,10.376884422111,0.55730818870109,37.16671124933883,0.64868148343898
169669,169669,30.0,0.44940629601479,0.33670598268509,10.396984924623,0.56154869572786,36.84143166595062,0.64300428371934
170670,170670,30.0,0.45464265346527,0.33666244149208,10.417085427136,0.56572214192247,36.51991177774797,0.63739270305956
171671,171671,30.0,0.45981258153915,0.33656075596809,10.437185929648,0.56982519477425,36.20233838406548,0.63185000172307
172672,172672,30.0,0.46491861343384,0.33640402555466,10.457286432161,0.5738614689336,35.88860254242267,0.62637427830488
173673,173673,30.0,0.46996095776558,0.33619320392609,10.477386934673,0.57783143925372,35.57857041980859,0.62096319697832
174674,174674,30.0,0.47493773698807,0.33592009544373,10.497487437186,0.58172860041283,35.27149876695205,0.61560378559643
175675,175675,30.0,0.479855209589,0.33560860157013,10.517587939698,0.58557164857732,34.96877062108096,0.61032018271253
176676,176676,30.0,0.48470813035965,0.33524787425995,10.537688442211,0.5893497338869,34.6696316795299,0.60509922326153
177677,177677,30.0,0.48950079083443,0.33484202623367,10.557788944724,0.59306846717711,34.37400063652291,0.59993948818995
178678,178678,30.0,0.49423077702522,0.33439108729362,10.577889447236,0.59672561552221,34.08184796706601,0.59484046218944
179679,179679,30.0,0.49889609217644,0.33388635516167,10.597989949749,0.60031442507412,33.79242822196027,0.58978913471706
180680,180680,30.0,0.5035063624382,0.33335238695145,10.618090452261,0.60385633299815,33.50702566523495,0.58480792040859
181681,181681,30.0,0.50805556774139,0.33277752995491,10.638190954774,0.60733956264673,33.2248882209449,0.57988369306257
182682,182682,30.0,0.51254659891129,0.33216589689255,10.658291457286,0.61076853153544,32.94604803620767,0.57501701375204
183683,183683,30.0,0.5169740319252,0.33150571584702,10.678391959799,0.61413206179473,32.66971789821901,0.57019414302164
184684,184684,30.0,0.52134895324707,0.3308222591877,10.698492462312,0.61745291174783,32.39719142283091,0.56543765872727
185685,185685,30.0,0.52566438913345,0.33010411262512,10.718592964824,0.62071875690611,32.12779508697916,0.56073580567384
186686,186686,30.0,0.529924929142,0.32935452461243,10.738693467337,0.62393495927767,31.86143330116531,0.5560869155099
187687,187687,30.0,0.53412348031998,0.32856196165085,10.758793969849,0.62708919211942,31.59743224758295,0.55147922789615
188688,188688,30.0,0.53827100992203,0.32775050401688,10.778894472362,0.63020319977433,31.33702434481262,0.5469342525946
189689,189689,30.0,0.54236489534378,0.32691133022308,10.798994974874,0.63326984574468,31.07954035188041,0.54244030914675
190690,190690,30.0,0.54639852046967,0.32603287696838,10.819095477387,0.6362772823508,30.82428630162071,0.53798528554067
191691,191691,30.0,0.55038368701935,0.32514008879662,10.839195979899,0.639248214921,30.57254167348528,0.5335915129055
192692,192692,30.0,0.55431652069092,0.32422119379044,10.859296482412,0.64217301999834,30.32347772348171,0.52924452692991
193693,193693,30.0,0.55819708108902,0.32327908277512,10.879396984925,0.6450529797592,30.07721929969279,0.52494650662402
194694,194694,30.0,0.5620197057724,0.32230192422867,10.899497487437,0.64787705626762,29.83301465128023,0.52068433146055
195695,195695,30.0,0.56579810380936,0.32131442427635,10.91959798995,0.65066923511283,29.59206531547139,0.51647897222019
196696,196696,30.0,0.56952619552612,0.3203050494194,10.939698492462,0.65341825202088,29.35366972081895,0.51231818417126
197697,197697,30.0,0.57319700717926,0.31926465034485,10.959798994975,0.65611334843842,29.11734284010765,0.50819350199188
198698,198698,30.0,0.57682633399963,0.31821662187576,10.979899497487,0.65877950638546,28.88411522784753,0.50412291225137
199699,199699,30.0,0.58040714263916,0.3171494603157,11.0,0.66140474099079,28.65333246284318,0.50009499314519
